date,currency,usd_per_unit
2025-08-22,EUR,1.045038
2025-08-25,EUR,1.040749
2025-08-26,EUR,1.04493
2025-08-27,EUR,1.047775
2025-08-28,EUR,1.044919
2025-08-29,EUR,1.039025
2025-09-01,EUR,1.039235
2025-09-02,EUR,1.044196
2025-09-03,EUR,1.041915
2025-09-04,EUR,1.036544
2025-09-05,EUR,1.041922
2025-09-08,EUR,1.039561
2025-09-09,EUR,1.044282
2025-09-10,EUR,1.043516
2025-09-11,EUR,1.048948
2025-09-12,EUR,1.048753
2025-09-15,EUR,1.049656
2025-09-16,EUR,1.039963
2025-09-17,EUR,1.045761
2025-09-18,EUR,1.04298
2025-09-19,EUR,1.04637
2025-09-22,EUR,1.047934
2025-09-23,EUR,1.052564
2025-09-24,EUR,1.058417
2025-09-25,EUR,1.057045
2025-09-26,EUR,1.057457
2025-09-29,EUR,1.058738
2025-09-30,EUR,1.058838
2025-10-01,EUR,1.047765
2025-10-02,EUR,1.044609
2025-10-03,EUR,1.044719
2025-10-06,EUR,1.047854
2025-10-07,EUR,1.045342
2025-10-08,EUR,1.048416
2025-10-09,EUR,1.059529
2025-10-10,EUR,1.058699
2025-10-13,EUR,1.059462
2025-10-14,EUR,1.060146
2025-10-15,EUR,1.063972
2025-10-16,EUR,1.061526
2025-10-17,EUR,1.062326
2025-10-20,EUR,1.049551
2025-10-21,EUR,1.052348
2025-10-22,EUR,1.057002
2025-10-23,EUR,1.056808
2025-10-24,EUR,1.051083
2025-10-27,EUR,1.053468
2025-10-28,EUR,1.058457
2025-10-29,EUR,1.04999
2025-10-30,EUR,1.043024
2025-10-31,EUR,1.050987
2025-11-03,EUR,1.057599
2025-11-04,EUR,1.054497
2025-11-05,EUR,1.046951
2025-11-06,EUR,1.043606
2025-11-07,EUR,1.049108
2025-11-10,EUR,1.048464
2025-11-11,EUR,1.047726
2025-11-12,EUR,1.046973
2025-11-13,EUR,1.048921
2025-11-14,EUR,1.050399
2025-11-17,EUR,1.048217
2025-11-18,EUR,1.04562
2025-11-19,EUR,1.042992
2025-11-20,EUR,1.043018
2025-11-21,EUR,1.0408
2025-11-24,EUR,1.042587
2025-11-25,EUR,1.035829
2025-11-26,EUR,1.03485
2025-11-27,EUR,1.039962
2025-11-28,EUR,1.040098
2025-12-01,EUR,1.040174
2025-12-02,EUR,1.044522
2025-12-03,EUR,1.04832
2025-12-04,EUR,1.049689
2025-12-05,EUR,1.054714
2025-12-08,EUR,1.056896
2025-12-09,EUR,1.05248
2025-12-10,EUR,1.052849
2025-12-11,EUR,1.052172
2025-12-12,EUR,1.043345
2025-12-15,EUR,1.045969
2025-12-16,EUR,1.039648
2025-12-17,EUR,1.035595
2025-12-18,EUR,1.040707
2025-12-19,EUR,1.035707
2025-12-22,EUR,1.039742
2025-12-23,EUR,1.036692
2025-12-24,EUR,1.031845
2025-12-25,EUR,1.035043
2025-12-26,EUR,1.035251
2025-12-29,EUR,1.032818
2025-12-30,EUR,1.039032
2025-12-31,EUR,1.037707
